target,algorithm,subset,config_json,oof_log_loss,fold_mean,fold_se
regular,ridge,H_D_C,0.01,0.47348705131220675,0.4734870513122068,0.0030810227952063245
regular,ridge,H_D_C,0.1,0.45958637059557994,0.45958637059557994,0.004630231952408835
regular,ridge,H_D_C,1.0,0.4543741978449897,0.4543741978449898,0.006358537858535734
regular,ridge,H_D_C,10.0,0.4564015057997391,0.45640150579973915,0.007510519435893853
regular,ridge,H_B_C,0.001,0.4831483819553698,0.4831483819553698,0.0014762954502262383
regular,ridge,H_B_C,0.01,0.47739278039410604,0.477392780394106,0.0037819896387602764
regular,ridge,H_B_C,0.1,0.47784324400152245,0.4778432440015224,0.005887629809266042
regular,ridge,H_B_C,1.0,0.4786683035481253,0.47866830354812534,0.006421703124372921
regular,ridge,H_B_C,10.0,0.4798966836937173,0.4798966836937173,0.006858224259175208
regular,ridge,H_D_B_C,0.001,0.481415761890251,0.4814157618902509,0.0014413199893444412
regular,ridge,H_D_B_C,0.01,0.4681211022470797,0.4681211022470796,0.003311935283968035
regular,ridge,H_D_B_C,0.1,0.45565198405928387,0.45565198405928387,0.004114171463270926
regular,ridge,H_D_B_C,1.0,0.4516542116032291,0.45165421160322916,0.0048419556980019655
regular,ridge,H_D_B_C,10.0,0.45368370998136487,0.4536837099813648,0.005989346497734292
regular,ridge,H_M_C,0.001,0.4847491828835687,0.4847491828835687,0.0011212302403523597
regular,ridge,H_M_C,0.01,0.4817088343105737,0.48170883431057365,0.0025836664746973
regular,ridge,H_M_C,0.1,0.4825769722888092,0.48257697228880925,0.004272770486378776
regular,ridge,H_M_C,1.0,0.483357999239853,0.483357999239853,0.004656333072469109
regular,ridge,H_M_C,10.0,0.4845302823483276,0.4845302823483276,0.00522433951653663
regular,ridge,H_D_M_C,0.001,0.4829931280199419,0.4829931280199419,0.0011304858324982948
regular,ridge,H_D_M_C,0.01,0.4721648132169648,0.4721648132169648,0.0026805543352439428
regular,ridge,H_D_M_C,0.1,0.45957749912059376,0.4595774991205938,0.004254537346871236
regular,ridge,H_D_M_C,1.0,0.4546704067814052,0.45467040678140513,0.006305202249324169
regular,ridge,H_D_M_C,10.0,0.45682947292799,0.45682947292799003,0.007512059067739319
regular,ridge,H_B_M_C,0.001,0.4824124027878894,0.4824124027878893,0.0012717650835892724
regular,ridge,H_B_M_C,0.01,0.47608214812525695,0.476082148125257,0.0029676336652743832
regular,ridge,H_B_M_C,0.1,0.47682373860255917,0.4768237386025592,0.004611225872338474
