subgroup,model,n,events,event_rate,log_loss,brier,roc_auc,average_precision,calibration_intercept,calibration_slope
age_group_1,hgb::D_B_M_P_C_A_K,66,46,0.696969696969697,0.8484747105367221,0.3207092868201862,0.34021739130434786,0.6500759950930172,0.7673837979259867,-0.6965106447658111
age_group_1,hgb::D_M_P_A,66,46,0.696969696969697,0.8954231147692596,0.34233945259712556,0.22554347826086957,0.6033179829109401,0.7053386779722366,-1.2556991780550808
age_group_1,hgb::D_M_P_A_K,66,46,0.696969696969697,0.8982580351728626,0.34185048367973314,0.2804347826086957,0.6293501319396199,0.7079828527167459,-0.9697641932757678
age_group_1,hgb::H_D_B_M_P_C_A,66,46,0.696969696969697,0.826649802968118,0.3067934361772913,0.4048913043478261,0.6408532187133985,0.8098572103398052,-0.5353413964270762
age_group_1,hgb::H_D_B_M_P_C_A_K,66,46,0.696969696969697,0.8336259020857654,0.31034612390961613,0.41141304347826085,0.6649617395592897,0.7760120768925193,-0.5282706913860278
age_group_1,hgb::H_D_M_P,66,46,0.696969696969697,0.8288560352440116,0.30876750416776205,0.37771739130434784,0.6568394755501824,0.7521627890140992,-0.6017853085538978
age_group_1,hgb::H_D_M_P_A,66,46,0.696969696969697,0.8273838059289342,0.30778353017894955,0.3793478260869565,0.6265557904176257,0.8256588096918112,-0.6289128454454063
age_group_1,prevalence,66,46,0.696969696969697,0.6516727370896276,0.22936020260952286,0.5,0.696969696969697,,
age_group_1,ridge::D_A_K,66,46,0.696969696969697,0.9584181107022013,0.3678835161566242,0.2673913043478261,0.5890773700676725,0.5732083604863603,-0.8993362255199615
age_group_1,ridge::D_B,66,46,0.696969696969697,0.9502613033338954,0.36408052725016504,0.3135869565217392,0.6174717417172567,0.46536953890424276,-0.9895996251723574
age_group_1,ridge::D_B_M_P_C_A,66,46,0.696969696969697,0.978448770559187,0.3755280849121615,0.30108695652173917,0.597974296015894,0.534830435844555,-0.9536978410731148
age_group_1,ridge::D_B_M_P_C_A_K,66,46,0.696969696969697,0.9987838074157501,0.3825337462460274,0.26304347826086955,0.5837275065080355,0.5461225910383826,-0.9413479703671718
age_group_1,ridge::H_D,66,46,0.696969696969697,0.89709235268783,0.34022291397413434,0.38913043478260867,0.6382893693589055,0.7218089794827487,-0.4778299061398655
age_group_1,ridge::H_D_B_A,66,46,0.696969696969697,0.9237420634499983,0.3500643909207595,0.3858695652173913,0.6262285475560242,0.7537391909224394,-0.5211281399723362
age_group_1,ridge::H_D_B_M_P_C_A,66,46,0.696969696969697,0.9519336824716513,0.361621485431586,0.3663043478260869,0.6159225146827949,0.7146297766648564,-0.5731978580312611
age_group_1,ridge::H_D_B_M_P_C_A_K,66,46,0.696969696969697,0.9712097019715488,0.36925479615032775,0.33152173913043476,0.6028138971611937,0.7065959725632136,-0.5987022143124859
age_group_2,P0,224,130,0.5803571428571429,0.6708645729013395,0.23893537106961055,0.5648936170212766,0.6142750213857999,0.047850264896101634,0.7499652089570182
age_group_2,hgb::D_B_M_P_C_A,224,130,0.5803571428571429,0.796192906105328,0.28536873097812565,0.44324877250409167,0.5273921259429182,0.6261174143935878,-0.38975380628713613
age_group_2,hgb::D_B_M_P_C_A_K,224,130,0.5803571428571429,0.7358348926515031,0.2640410953139885,0.5351063829787235,0.6131415405954236,0.27281696135950073,0.07441153066708743
age_group_2,hgb::D_M_P_A,224,130,0.5803571428571429,0.7858873495906904,0.2830468511786096,0.459860883797054,0.5534003188346505,0.5473213022521188,-0.3169229897767806
