replicate,dev_boot_n,eval_boot_n,P0,ridge::H_D_B_A,ridge::H_D_B_M_P_C_A_K,ridge::H_D,ridge::H_D_B_M_P_C_A,ridge::D_A_K,ridge::D_B_M_P_C_A_K,ridge::D_B,ridge::D_B_M_P_C_A,hgb::H_D_M_P_A,hgb::H_D_B_M_P_C_A_K,hgb::D_M_P_A_K,hgb::D_B_M_P_C_A_K
38,1598,1510,0.6647956160068337,0.7205500446813138,0.7126130402619009,0.7040291010575762,0.7267927564528975,0.7195483908161523,0.7224279020912666,0.7078801458395814,0.7345780221560698,0.6966643601672389,0.6875499757970357,0.7240654960477383,0.7225310218177287
39,1532,1544,0.6562358650657599,0.7157324393418184,0.7011507926890597,0.7136905086561696,0.7141188870267059,0.714414746943364,0.7019213799845941,0.7024786502641649,0.7149100039859146,0.6755929320203907,0.6482362370076313,0.6964372434540722,0.6825044826725036
40,1595,1514,0.6557293502296181,0.7041119327166466,0.6916476187978683,0.6940390308320327,0.7067189269824469,0.6999169934476387,0.7027154578778547,0.7050890036316247,0.7159457182508321,0.7161445734865722,0.6764705566732314,0.7129769037214104,0.7120154497070169
41,1573,1539,0.6648517562518679,0.7318002117177239,0.7215433749049885,0.721789332975201,0.7392788890278668,0.7235419045199646,0.7293799008737574,0.7242404137140108,0.7459883087158045,0.7180966712283543,0.6901063467623852,0.713774281702831,0.7102022852558157
42,1602,1509,0.6540520425595736,0.6845634434309597,0.6909679188080377,0.6813719622198753,0.7010672768521687,0.6968044878427663,0.7075184898806031,0.697430387195163,0.7177091035806274,0.7000406048646356,0.6672138252916834,0.7188420636768688,0.7016463866847632
43,1548,1548,0.6603628422680013,0.7138158111978251,0.7047997889258891,0.7005498831645532,0.7180348460306136,0.7134076187075283,0.7078730969847605,0.7019844314705515,0.7183150232395823,0.7036998340611639,0.6784156563562845,0.7178941799351113,0.706368673259471
44,1582,1517,0.6565967686118744,0.6872018232080814,0.674069962435409,0.6859720426015281,0.6948092003577371,0.6807804016643111,0.6792401698016194,0.6849066693092237,0.6975009716633362,0.6825233296366165,0.6516133848853116,0.7034826457123772,0.6942412302286859
45,1607,1475,0.6583953445519766,0.6822366525014537,0.668866088100942,0.6750916585980993,0.6817667172656783,0.693320836239428,0.6864325581188027,0.6871855007924331,0.6998235048260851,0.6806930890179524,0.6536087720289335,0.6939106814338123,0.6906253107006686
46,1594,1471,0.6483665389018345,0.6921977944462819,0.6940825158201175,0.6830958739249305,0.7021592074719364,0.7091768636621804,0.7145337199448122,0.7044399719058116,0.7245267252479557,0.6950316401019441,0.6765733642641361,0.7295818296490983,0.6985508951477327
47,1573,1496,0.6733575690031749,0.7822902397817422,0.765671161906263,0.7448282727266162,0.7818952312209294,0.777680902580026,0.7735208857604908,0.7389868278823184,0.7866451521745379,0.7489835074235942,0.7095819268008253,0.7468613179363217,0.7408450073829529
