threshold,model,net_benefit,scope
0.7500000000000002,ridge::H_D,-0.06907894736842123,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,ridge::H_D_B_A,-0.18355263157894772,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,ridge::H_D_B_M_P_C_A,-0.17565789473684243,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,ridge::H_D_B_M_P_C_A_K,-0.11447368421052662,hypothetical classification utility; not intervention effectiveness
0.7500000000000002,act_none,0.0,
0.7500000000000002,act_all,-0.7552631578947382,
0.8000000000000002,P0,0.0,hypothetical classification utility; not intervention effectiveness
0.8000000000000002,hgb::D_B_M_P_C_A,-0.1638157894736844,hypothetical classification utility; not intervention effectiveness
0.8000000000000002,hgb::D_B_M_P_C_A_K,-0.052631578947368515,hypothetical classification utility; not intervention effectiveness
0.8000000000000002,hgb::D_M_P_A,-0.1407894736842107,hypothetical classification utility; not intervention effectiveness
0.8000000000000002,hgb::D_M_P_A_K,-0.08157894736842118,hypothetical classification utility; not intervention effectiveness
0.8000000000000002,hgb::H_D_B_M_P_C_A,-0.15526315789473702,hypothetical classification utility; not intervention effectiveness
0.8000000000000002,hgb::H_D_B_M_P_C_A_K,-0.03947368421052641,hypothetical classification utility; not intervention effectiveness
0.8000000000000002,hgb::H_D_M_P,-0.038815789473684255,hypothetical classification utility; not intervention effectiveness
0.8000000000000002,hgb::H_D_M_P_A,-0.1618421052631581,hypothetical classification utility; not intervention effectiveness
