algorithm,subset,config,oof_log_loss,fold_mean,fold_se,fold_losses
ridge,H_D_P,1.0,0.6397389504100328,0.6397389504100329,0.009160602987331309,"[0.6436728736045012, 0.6089410329512811, 0.6657317665449173, 0.63579621193756, 0.6445528670119048]"
ridge,H_D_P,10.0,0.6406928384957176,0.6406928384957176,0.010739428552144239,"[0.6442705008113392, 0.6057253918593664, 0.6727361835558772, 0.6356652610043959, 0.6450668552476094]"
ridge,H_B_P,0.001,0.6730063508022907,0.6730063508022908,0.0009638684446576452,"[0.6711168734169539, 0.6761632297252044, 0.673828842202036, 0.6709162919231422, 0.6730065167441174]"
ridge,H_B_P,0.01,0.6591160329466502,0.6591160329466501,0.003208148547908172,"[0.6523189598980302, 0.6689748290420192, 0.6625724439692621, 0.6520321478378482, 0.6596817839860908]"
ridge,H_B_P,0.1,0.6577918321132824,0.6577918321132824,0.004177065743869202,"[0.6486963349942122, 0.6702948121476952, 0.6626947030544476, 0.6485703028032718, 0.6587030075667855]"
ridge,H_B_P,1.0,0.6577977226892603,0.6577977226892602,0.004307708937551774,"[0.6483823171843142, 0.6706444290560849, 0.6629108784133142, 0.648291415208776, 0.6587595735838119]"
ridge,H_B_P,10.0,0.6578007557707171,0.6578007557707171,0.004321239251219536,"[0.6483520977101013, 0.6706829008358476, 0.6629358946908039, 0.6482650122483863, 0.6587678733684459]"
ridge,H_D_B_P,0.001,0.6699473263938689,0.6699473263938687,0.0006076332221540751,"[0.6688819379138484, 0.6716786258713295, 0.6710825779493063, 0.6686338148604719, 0.6694596753743876]"
ridge,H_D_B_P,0.01,0.6482861570355885,0.6482861570355885,0.0020151802150235204,"[0.6447668835962526, 0.6492299341848353, 0.6553868120046806, 0.6441150188671512, 0.6479321365250225]"
ridge,H_D_B_P,0.1,0.6400938426831627,0.6400938426831628,0.005044879627742269,"[0.6379628735738267, 0.6288433959200896, 0.6584362747060947, 0.6337954834900773, 0.6414311857257254]"
ridge,H_D_B_P,1.0,0.6375400411253291,0.637540041125329,0.008023456957847293,"[0.6384631770406081, 0.6144537087531268, 0.6639625621185901, 0.6305903285265907, 0.6402304291877298]"
ridge,H_D_B_P,10.0,0.6384060804088407,0.6384060804088407,0.00957506683757557,"[0.6391709955488601, 0.6112571062250227, 0.6704732658157264, 0.6304884527120083, 0.640640581742586]"
ridge,H_M_P,0.001,0.6756926981498154,0.6756926981498154,0.0005613934797329348,"[0.6746306100235975, 0.6767725882900156, 0.6769854536934304, 0.6741774596546511, 0.6758973790873822]"
ridge,H_M_P,0.01,0.6638022958066256,0.6638022958066255,0.0021032749833007876,"[0.6589660132546624, 0.6675204660118824, 0.668693645173589, 0.6587362955110957, 0.6650950590818981]"
ridge,H_M_P,0.1,0.6625724600188355,0.6625724600188355,0.0028824417926408773,"[0.6555490510504303, 0.6674955694724183, 0.6692722272214834, 0.6559634512095445, 0.6645820011403011]"
ridge,H_M_P,1.0,0.6625732314054603,0.6625732314054602,0.002993628076870155,"[0.6552278076731826, 0.6676634024474573, 0.6695300945356252, 0.655754732416192, 0.6646901199548441]"
ridge,H_M_P,10.0,0.6625743222490311,0.6625743222490311,0.00300597513600813,"[0.6551901359069086, 0.6676830785439657, 0.66955920604086, 0.6557355094788967, 0.6647036812745246]"
ridge,H_D_M_P,0.001,0.6725206752009312,0.6725206752009312,0.0004105464122268928,"[0.6722639543075997, 0.672196035587883, 0.6741268287865405, 0.6717905163273026, 0.6722260409953301]"
ridge,H_D_M_P,0.01,0.6520992184424985,0.6520992184424985,0.0022529833378062258,"[0.6503930552177326, 0.6471335838990724, 0.6604380596111553, 0.6500359873955835, 0.6524954060889488]"
ridge,H_D_M_P,0.1,0.6429854339986559,0.6429854339986559,0.005984449186904017,"[0.6432452400942682, 0.6243370514341731, 0.6615890406007856, 0.6395368358480409, 0.6462190020160121]"
ridge,H_D_M_P,1.0,0.6398515673596114,0.6398515673596114,0.009172914897101158,"[0.6436043447975754, 0.6089720983740229, 0.6657767908270801, 0.6358488550686029, 0.6450557477307758]"
ridge,H_D_M_P,10.0,0.6407866644919165,0.6407866644919165,0.010744561620604538,"[0.6442529005265, 0.6055539637788724, 0.6725555764015937, 0.6359744986776489, 0.645596383074967]"
ridge,H_B_M_P,0.001,0.6729896703786897,0.6729896703786896,0.0009310035156504804,"[0.6715340245356779, 0.6761404684098128, 0.6736508809122455, 0.6707927898811754, 0.672830188154537]"
ridge,H_B_M_P,0.01,0.6592626286299826,0.6592626286299825,0.0031276359830114584,"[0.6531934403220271, 0.6690395093954021, 0.6624664993063714, 0.6519943640900931, 0.6596193300360192]"
